"id","name","code","account_type","reconcile","name@vi_VN","tag_ids"
"chart33362","Natural resources using tax - long term","33362","liability_current","False","Thuế tài nguyên - dài hạn","l10n_vn.operating_trade_payable"
"chart33371","Land & housing tax, land rental charges - short term","33371","liability_current","False","Thuế nhà đất, tiền thuê đất - ngắn hạn","l10n_vn.operating_trade_payable"
"chart33372","Land & housing tax, land rental charges - long term","33372","liability_current","False","Thuế nhà đất, tiền thuê đất - dài hạn","l10n_vn.operating_trade_payable"
"chart33381","Environment protection tax","33381","liability_current","False","Thuế bảo vệ môi trường","l10n_vn.operating_trade_payable"
"chart33382","Other taxes","33382","liability_current","False","Các loại thuế khác","l10n_vn.operating_trade_payable"
"chart33391","Fees & charges & other payables - short term","33391","liability_payable","True","Phí, lệ phí và các khoản phải nộp khác - ngắn hạn","l10n_vn.operating_trade_payable"
"chart33392","Fees & charges & other payables - long term","33392","liability_payable","True","Phí, lệ phí và các khoản phải nộp khác - dài hạn","l10n_vn.operating_trade_payable"
"chart33411","Payables to staff - short term","3341","liability_payable","True","Phải trả công nhân viên - ngắn hạn","l10n_vn.operating_trade_payable"
"chart33412","Payables to staff - long term","3342","liability_payable","True","Phải trả công nhân viên - dài hạn","l10n_vn.operating_trade_payable"
"chart3351","Accrued expenses - short term","3351","liability_payable","True","Chi phí phải trả - ngắn hạn",""
"chart33511","Accrued Expenses - short term - Loan Interest","33511","liability_payable","True","","l10n_vn.operating_paid_borrowing_expense"
"chart3352","Accrued expenses - long term","3352","liability_payable","True","Chi phí phải trả - dài hạn",""
"chart33521","Accrued Expenses - long term - Loan Interest","33521","liability_payable","True","","l10n_vn.operating_paid_borrowing_expense"
"chart3361","Internal payables for working capital received","3361","liability_payable","True","Phải trả nội bộ về vốn kinh doanh","l10n_vn.operating_trade_payable"
"chart33621","Internal payables for foreign exchange differences - short term","33621","liability_payable","True","Phải trả nội bộ về chênh lệch tỉ giá - ngắn hạn","l10n_vn.operating_trade_payable"
"chart33622","Internal payables for foreign exchange differences - long term","33622","liability_payable","True","Phải trả nội bộ về chênh lệch tỉ giá - dài hạn","l10n_vn.operating_trade_payable"
"chart33631","Internal payables for borrowing costs eligible for capitalization - short term","33631","liability_payable","True","Phải trả nội bộ về chi phí đi vay đủ điều kiện được vốn hoá - ngắn hạn","l10n_vn.operating_trade_payable"
"chart33632","Internal payables for borrowing costs eligible for capitalization - long term","33632","liability_payable","True","Phải trả nội bộ về chi phí đi vay đủ điều kiện được vốn hoá - dài hạn","l10n_vn.operating_trade_payable"
"chart33681","Other internal payables - short term","33681","liability_payable","True","Phải trả nội bộ khác - ngắn hạn","l10n_vn.operating_trade_payable"
"chart33682","Other internal payables - long term","33682","liability_payable","True","Phải trả nội bộ khác -  dài hạn","l10n_vn.operating_trade_payable"
