code,id,stripe_name,name
0742,veterinary_services,veterinary_services,Veterinary
0780,landscaping_services,landscaping_services,Landscaping Services
1520,general_services,general_services,General Services
1711,heating_plumbing_a_c,heating_plumbing_a_c,Heating Plumbing A C
1731,electrical_services,electrical_services,Electrical Services
1740,masonry_stonework_and_plaster,masonry_stonework_and_plaster,Masonry Stonework and Plaster
1750,carpentry_services,carpentry_services,Carpentry Services
1761,roofing_siding_sheet_metal,roofing_siding_sheet_metal,Roofing Siding Sheet Metal
1771,concrete_work_services,concrete_work_services,Concrete Work Services
1799,special_trade_services,special_trade_services,Special Trade Services
2741,miscellaneous_publishing_and_printing,miscellaneous_publishing_and_printing,Miscellaneous Publishing and Printing
2791,typesetting_plate_making_and_related_services,typesetting_plate_making_and_related_services,Typesetting Plate Making and Related Services
2842,specialty_cleaning,specialty_cleaning,Specialty Cleaning
4011,railroads,railroads,Railroads
4111,commuter_transport_and_ferries,commuter_transport_and_ferries,Commuter Transport and Ferries
4112,passenger_railways,passenger_railways,Passenger Railways
4119,ambulance_services,ambulance_services,Ambulance Services
4121,taxicabs_limousines,taxicabs_limousines,Taxicabs Limousines
4131,bus_lines,bus_lines,Bus Lines
4214,motor_freight_carriers_and_trucking,motor_freight_carriers_and_trucking,Motor Freight Carriers and Trucking
4215,courier_services,courier_services,Courier Services
4225,public_warehousing_and_storage,public_warehousing_and_storage,Public Warehousing and Storage
4411,cruise_lines,cruise_lines,Cruise Lines
4457,boat_rentals_and_leases,boat_rentals_and_leases,Boat Rentals and Leases
4468,marinas_service_and_supplies,marinas_service_and_supplies,Marinas Service and Supplies
4511,airlines_air_carriers,airlines_air_carriers,Airlines Air Carriers
4582,airports_flying_fields,airports_flying_fields,Airports Flying Fields
4722,travel_agencies_tour_operators,travel_agencies_tour_operators,Travel Agencies Tour Operators
4723,t_ui_travel_germany,t_ui_travel_germany,TUI Travel Germany
4784,tolls_bridge_fees,tolls_bridge_fees,Tolls Bridge Fees
4789,transportation_services,transportation_services,Transportation Services
4812,telecommunication_equipment_and_telephone_sales,telecommunication_equipment_and_telephone_sales,Telecommunication Equipment and Telephone Sales
4814,telecommunication_services,telecommunication_services,Telecommunication Services
4816,computer_network_services,computer_network_services,Computer Network Services
4821,telegraph_services,telegraph_services,Telegraph Services
4829,wires_money_orders,wires_money_orders,Wires Money Orders
4899,cable_satellite_and_other_pay_television_and_radio,cable_satellite_and_other_pay_television_and_radio,Cable Satellite and Other Pay Television and Radio
4900,utilities,utilities,Utilities
5013,motor_vehicle_supplies_and_new_parts,motor_vehicle_supplies_and_new_parts,Motor Vehicle Supplies and New Parts
5021,office_and_commercial_furniture,office_and_commercial_furniture,Office and Commercial Furniture
5039,construction_materials,construction_materials,Construction Materials
5044,photographic_photocopy_microfilm_equipment_and_supplies,photographic_photocopy_microfilm_equipment_and_supplies,Photographic Photocopy Microfilm Equipment and Supplies
5045,computers_peripherals_and_software,computers_peripherals_and_software,Computers Peripherals and Software
5046,commercial_equipment,commercial_equipment,Commercial Equipment
5047,medical_dental_ophthalmic_and_hospital_equipment_and_supplies,medical_dental_ophthalmic_and_hospital_equipment_and_supplies,Medical Dental Ophthalmic and Hospital Equipment and Supplies
5051,metal_service_centers,metal_service_centers,Metal Service Centers
5065,electrical_parts_and_equipment,electrical_parts_and_equipment,Electrical Parts and Equipment
5072,hardware_equipment_and_supplies,hardware_equipment_and_supplies,Hardware Equipment and Supplies
5074,plumbing_heating_equipment_and_supplies,plumbing_heating_equipment_and_supplies,Plumbing Heating Equipment and Supplies
5085,industrial_supplies,industrial_supplies,Industrial Supplies
5094,precious_stones_and_metals_watches_and_jewelry,precious_stones_and_metals_watches_and_jewelry,Precious Stones and Metals Watches and Jewelry
5099,durable_goods,durable_goods,Durable Goods
5122,drugs_drug_proprietaries_and_druggist_sundries,drugs_drug_proprietaries_and_druggist_sundries,Drugs Drug Proprietaries and Druggist Sundries
